script	type	refs	value
script_10b6724c15a95e8	0	1	AI $e
script_10b6724c15a95e8	0	1	 attempting to start CAP '
script_10b6724c15a95e8	0	1	' with Arc '
script_10b6724c15a95e8	0	1	' 
script_10b6724c15a95e8	0	1	but is currently playing a scripted anim. This is not supported - you either need to avoid starting
script_10b6724c15a95e8	0	1	 a CAP when the AI is scripted, or first clear the scripted state using the normal method.
script_10b6724c15a95e8	0	1	cap_start
script_10b6724c15a95e8	0	2	animscript
script_10b6724c15a95e8	0	1	hero_salter
script_10b6724c15a95e8	0	1	farah
script_10b6724c15a95e8	0	1	soldier_female
script_10b6724c15a95e8	0	1	asm_terminated
script_10b6724c15a95e8	0	1	Calling cap_exit when in default asm: 
script_10b6724c15a95e8	0	5	cap_exit_completed
script_10b6724c15a95e8	0	1	entitydeleted
script_10b6724c15a95e8	0	1	axis
script_10b6724c15a95e8	0	4	death
script_10b6724c15a95e8	0	1	goal
script_10b6724c15a95e8	0	3	bseq_user_deleted
script_10b6724c15a95e8	0	4	cap_reach_and_arrive
script_10b6724c15a95e8	0	2	Custom
script_10b6724c15a95e8	0	1	script_origin
script_10b6724c15a95e8	0	1	cap_arrival
script_10b6724c15a95e8	0	3	end
script_10b6724c15a95e8	0	1	path_chosen
script_10b6724c15a95e8	0	1	Cap Arc (
script_10b6724c15a95e8	0	1	) has no arrival state (
script_10b6724c15a95e8	0	1	)!
script_10b6724c15a95e8	0	1	bt_goal
script_10b6724c15a95e8	0	2	custom_arrival_handler_done
script_10b6724c15a95e8	0	2	lerp_arrive_finished
script_10b6724c15a95e8	0	1	move
script_10b6724c15a95e8	0	1	player_look_at_process
script_10b6724c15a95e8	0	1	civilian_process_eye_look_at
script_13865ca76df87ea	0	4	genericblueprint
script_13865ca76df87ea	0	7	
script_13865ca76df87ea	0	1	could not find weaponIndex for generic blueprint 
script_13865ca76df87ea	0	1	blueprintName not specified
script_13865ca76df87ea	0	1	weaponKey not specified
script_13d1c402f1421c35	0	1	lethal
script_13d1c402f1421c35	0	1	tag_accessory_right
script_13d1c402f1421c35	0	1	reload_start
script_13d1c402f1421c35	0	2	reload
script_13d1c402f1421c35	0	3	reloadtimeout
script_13d1c402f1421c35	0	1	weapon_taken
script_13d1c402f1421c35	0	1	death
script_13d1c402f1421c35	0	1	stop_monitoring_flash
script_13d1c402f1421c35	0	2	flashbang
script_13d1c402f1421c35	0	1	doFlashBanged
script_13d1c402f1421c35	0	1	pain_flashed_transition
script_13d1c402f1421c35	0	1	flashed
script_1407e72346815bc3	0	2	
script_1407e72346815bc3	0	1	dmz
script_1407e72346815bc3	0	1	exgm
script_1407e72346815bc3	0	1	giveLoadout
script_1407e72346815bc3	0	1	death
script_1407e72346815bc3	0	1	specialty_ai_stealth_sixth_sense
script_1407e72346815bc3	0	2	 This function needs to be called on a Player entity 
script_147448f3f080c636	0	32	relaxed
script_147448f3f080c636	0	15	curious
script_147448f3f080c636	0	3	staring
script_147448f3f080c636	0	3	angered
script_147448f3f080c636	0	29	scared
script_147448f3f080c636	0	45	panicked
script_147448f3f080c636	0	27	cower
script_147448f3f080c636	0	5	death
script_147448f3f080c636	0	1	party_civ_run
script_147448f3f080c636	0	3	medium
script_147448f3f080c636	0	14	civreact_terminate
script_147448f3f080c636	0	2	goal
script_147448f3f080c636	0	5	civilian
script_147448f3f080c636	0	1	frantic
script_147448f3f080c636	0	1	targetname
